source,work_id,title,model,prompt,negative_prompt,steps,scale,sampler,width,height,image_url
aitag.win,147011680,Pursuit,NovelAI Diffusion V4.5 4BDE2A90,"year 2025,artist:kafun,d-art,blackwhiplash,echo saber,spacezin,absurdres,best quality,novel illustration,soft shading,no text,darkness,hallway boy,ash ketchum,clenched teeth,running,looking back girl,cynthia pokemon,huge breasts,yandere,chasing,running,crazy,glowing eyes",,,,,,,https://ai-img.10118899.xyz/NAI/108990884/147011680_p0.webp
aitag.win,147011680,Pursuit,NovelAI Diffusion V4.5 4BDE2A90,"year 2025,artist:kafun,d-art,blackwhiplash,echo saber,spacezin,absurdres,best quality,novel illustration,soft shading,no text,darkness,hallway boy,ash ketchum,clenched teeth,running,girl,cynthia pokemon,huge breasts,yandere,chasing,running,crazy,glowing eyes",,,,,,,https://ai-img.10118899.xyz/NAI/108990884/147011680_p1.webp
aitag.win,147011680,Pursuit,NovelAI Diffusion V4.5 4BDE2A90,"year 2025,artist:kafun,d-art,blackwhiplash,echo saber,spacezin,absurdres,best quality,novel illustration,soft shading,no text,darkness,hallway boy,ash ketchum,clenched teeth,running,girl,cynthia pokemon,huge breasts,yandere,chasing,running,crazy,glowing eyes",,,,,,,https://ai-img.10118899.xyz/NAI/108990884/147011680_p2.webp
aitag.win,147011680,Pursuit,NovelAI Diffusion V4.5 4BDE2A90,"year 2025,artist:kafun,d-art,blackwhiplash,echo saber,spacezin,absurdres,best quality,novel illustration,soft shading,no text,darkness,hallway boy,ash ketchum,clenched teeth,running,girl,cynthia pokemon,huge breasts,yandere,chasing,running,crazy,glowing eyes",,,,,,,https://ai-img.10118899.xyz/NAI/108990884/147011680_p3.webp
aitag.win,147011680,Pursuit,NovelAI Diffusion V4.5 4BDE2A90,"year 2025,artist:kafun,d-art,blackwhiplash,echo saber,spacezin,absurdres,best quality,novel illustration,soft shading,no text,darkness,hallway boy,ash ketchum,clenched teeth,back,looking up,surprised arms,girl,cynthia pokemon,huge breasts,yandere,crazy,glowing eyes,airborne,lunging",,,,,,,https://ai-img.10118899.xyz/NAI/108990884/147011680_p4.webp
aitag.win,146765738,日向秋6,NovelAI Diffusion V4.5 4BDE2A90,"kyoto animation,stable diffusion,pix ai,wuthering waves,extremely detailed,anime coloring,anime screenshot,official art,official style,ray tracing,cell-shading,masterpiece,8k,highres,detailed eyes,solid eyes,ultra detail,1girl,unity 8k wallpaper,very aesthetic,best quality,great quality,ultra quality,amazing quality,perfect anatomy,hyper detailed,ultra-high resolution,high brightness,voluptuous,gravure photo,professional photoshoot,lvibrant colors,sharp focus,specular highlights,skin gloss,clean lineart,sharp lineart,bold outlines,hard shadows,high contrast shading,vivid colors,saturated colors,latex,glossy skin,super detailed skin,shiny shading,nsfw,photorealistic lighting,glossy hair highlights,chiaroscuro,detailed cel shading,painterly,deep skin,colorful and shiny,polished skin,glossy latex,highly reflective,mirror shine,reflective surface,polished surface,iseki Shuichi,Nishikori atsushi,arai hiroki,tanaka masayoshi,magazine cover,depth of field,soft shadows,detailed environment,wrinkled fabric,wrinkled skin,stroke shading,hard shadows,key lighting,photorealistic glowing atmosphere,high exposure,photorealistic global illumination,high contrast image,shaded room,hyper shiny skin,dark bed room,storng shadow in room,window,morning dark bed room,,close-up,very close distance,faceless dark skinned male,French kiss,heavy breathing,saliva,tongue focus,,very aesthetic,masterpiece,no text sharpnesses,gundam build fighters try,lycoris recoil,ufotable,keroro gunsou,hinata Aki keroro gunsou,huge breasts,upper body,criss-cross halter bikini,1o-ring,black bikini",,,,,,,https://ai-img.10118899.xyz/NAI/84129311/146765738_p0.webp
aitag.win,146765738,日向秋6,NovelAI Diffusion V4.5 4BDE2A90,"kyoto animation,stable diffusion,pix ai,wuthering waves,extremely detailed,anime coloring,anime screenshot,official art,official style,ray tracing,cell-shading,masterpiece,8k,highres,detailed eyes,solid eyes,ultra detail,1girl,unity 8k wallpaper,very aesthetic,best quality,great quality,ultra quality,amazing quality,perfect anatomy,hyper detailed,ultra-high resolution,high brightness,voluptuous,gravure photo,professional photoshoot,lvibrant colors,sharp focus,specular highlights,skin gloss,clean lineart,sharp lineart,bold outlines,hard shadows,high contrast shading,vivid colors,saturated colors,latex,glossy skin,super detailed skin,shiny shading,nsfw,photorealistic lighting,glossy hair highlights,chiaroscuro,high contrast lighting,volumetric lighting,detailed cel shading,painterly,hard light,deep skin,colorful and shiny,polished skin,glossy latex,highly reflective,mirror shine,reflective surface,dramatic lighting,high contrast lighting,rim lighting,cinematic lighting,polished surface,iseki Shuichi,Nishikori atsushi,arai hiroki,tanaka masayoshi,magazine cover,depth of field,soft shadows,detailed environment,wrinkled fabric,wrinkled skin,stroke shading,key lighting,photorealistic glowing atmosphere,luminous lighting,high exposure,bright tones,photorealistic global illumination,high contrast image,shaded room,hyper shiny skin,window,morning dark bed room,very aesthetic,masterpiece,no text sharpnesses,gundam build fighters try,lycoris recoil,ufotable,keroro gunsou,hinata Aki keroro gunsou,huge breasts,upper body,criss-cross halter bikini,1o-ring,black bikini",,,,,,,https://ai-img.10118899.xyz/NAI/84129311/146765738_p1.webp
aitag.win,146765738,日向秋6,NovelAI Diffusion V4.5 4BDE2A90,"kyoto animation,stable diffusion,pix ai,wuthering waves,extremely detailed,anime coloring,anime screenshot,official art,official style,ray tracing,cell-shading,masterpiece,8k,highres,detailed eyes,solid eyes,ultra detail,1girl,unity 8k wallpaper,very aesthetic,best quality,great quality,ultra quality,amazing quality,perfect anatomy,hyper detailed,ultra-high resolution,high brightness,voluptuous,gravure photo,professional photoshoot,lvibrant colors,sharp focus,specular highlights,skin gloss,clean lineart,sharp lineart,bold outlines,hard shadows,high contrast shading,vivid colors,saturated colors,latex,glossy skin,super detailed skin,shiny shading,nsfw,photorealistic lighting,glossy hair highlights,chiaroscuro,high contrast lighting,volumetric lighting,detailed cel shading,painterly,hard light,deep skin,colorful and shiny,polished skin,glossy latex,highly reflective,mirror shine,reflective surface,dramatic lighting,high contrast lighting,rim lighting,cinematic lighting,polished surface,iseki Shuichi,Nishikori atsushi,arai hiroki,tanaka masayoshi,magazine cover,depth of field,soft shadows,detailed environment,wrinkled fabric,wrinkled skin,stroke shading,key lighting,photorealistic glowing atmosphere,luminous lighting,high exposure,bright tones,photorealistic global illumination,high contrast image,shaded room,hyper shiny skin,window,morning dark bed room,very aesthetic,masterpiece,no text sharpnesses,gundam build fighters try,lycoris recoil,ufotable,keroro gunsou,hinata Aki keroro gunsou,huge breasts,upper body,criss-cross halter bikini,1o-ring,black bikini",,,,,,,https://ai-img.10118899.xyz/NAI/84129311/146765738_p2.webp
aitag.win,146765738,日向秋6,NovelAI Diffusion V4.5 4BDE2A90,"kyoto animation,stable diffusion,pix ai,wuthering waves,extremely detailed,anime coloring,anime screenshot,official art,official style,ray tracing,cell-shading,masterpiece,8k,highres,detailed eyes,solid eyes,ultra detail,1girl,unity 8k wallpaper,very aesthetic,best quality,great quality,ultra quality,amazing quality,perfect anatomy,hyper detailed,ultra-high resolution,high brightness,voluptuous,gravure photo,professional photoshoot,lvibrant colors,sharp focus,specular highlights,skin gloss,clean lineart,sharp lineart,bold outlines,hard shadows,high contrast shading,vivid colors,saturated colors,latex,glossy skin,super detailed skin,shiny shading,nsfw,photorealistic lighting,glossy hair highlights,chiaroscuro,high contrast lighting,volumetric lighting,detailed cel shading,painterly,hard light,deep skin,colorful and shiny,polished skin,glossy latex,highly reflective,mirror shine,reflective surface,dramatic lighting,high contrast lighting,rim lighting,cinematic lighting,polished surface,iseki Shuichi,Nishikori atsushi,arai hiroki,tanaka masayoshi,magazine cover,depth of field,soft shadows,detailed environment,wrinkled fabric,wrinkled skin,stroke shading,key lighting,photorealistic glowing atmosphere,luminous lighting,high exposure,bright tones,photorealistic global illumination,high contrast image,shaded room,hyper shiny skin,window,morning dark bed room,very aesthetic,masterpiece,no text sharpnesses,gundam build fighters try,lycoris recoil,ufotable,keroro gunsou,hinata Aki keroro gunsou,huge breasts,upper body,criss-cross halter bikini,1o-ring,black bikini",,,,,,,https://ai-img.10118899.xyz/NAI/84129311/146765738_p3.webp
aitag.win,146765738,日向秋6,NovelAI Diffusion V4.5 4BDE2A90,"kyoto animation,stable diffusion,pix ai,wuthering waves,extremely detailed,anime coloring,anime screenshot,official art,official style,ray tracing,cell-shading,masterpiece,8k,highres,detailed eyes,solid eyes,ultra detail,1girl,unity 8k wallpaper,very aesthetic,best quality,great quality,ultra quality,amazing quality,perfect anatomy,hyper detailed,ultra-high resolution,high brightness,voluptuous,gravure photo,professional photoshoot,lvibrant colors,sharp focus,specular highlights,skin gloss,clean lineart,sharp lineart,bold outlines,hard shadows,high contrast shading,vivid colors,saturated colors,latex,glossy skin,super detailed skin,shiny shading,nsfw,photorealistic lighting,glossy hair highlights,chiaroscuro,high contrast lighting,volumetric lighting,detailed cel shading,painterly,hard light,deep skin,colorful and shiny,polished skin,glossy latex,highly reflective,mirror shine,reflective surface,dramatic lighting,high contrast lighting,rim lighting,cinematic lighting,polished surface,iseki Shuichi,Nishikori atsushi,arai hiroki,tanaka masayoshi,magazine cover,depth of field,soft shadows,detailed environment,wrinkled fabric,wrinkled skin,stroke shading,key lighting,photorealistic glowing atmosphere,luminous lighting,high exposure,bright tones,photorealistic global illumination,high contrast image,shaded room,hyper shiny skin,window,morning dark bed room,very aesthetic,masterpiece,no text sharpnesses,gundam build fighters try,lycoris recoil,ufotable,keroro gunsou,hinata Aki keroro gunsou,huge breasts,upper body,criss-cross halter bikini,1o-ring,black bikini",,,,,,,https://ai-img.10118899.xyz/NAI/84129311/146765738_p4.webp
